Results for a query:  ministrstvo za javno upravo
Results found in: 96 ms

Frequency  Keywords                          Document                                           Snippets
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.376.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
9           ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.466.html             MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA INFRASTRUKTURO ... MINISTRSTVO ZA INFRASTRUKTURO , ... MI
14          javno + ministrstvo + upravo      e-uprava.gov.si\e-uprava.gov.si.44.html            Ministrstvo za javno upravo kot tehnični skrbnik ... Ministrstvo za javno upravo . Informacije o ...
14          javno + upravo + ministrstvo      evem.gov.si\evem.gov.si.49.html                    Ministrstvo za javno upravo oz . skrbnik ... Ministrstvo za javno upravo bo uporabilo vsa ... Minist
10          ministrstvo + javno + upravo      e-uprava.gov.si\e-uprava.gov.si.23.html            Ministrstvo za javno upravo Upravna enota Gornja ... Ministrstvo za javno upravo , vse pravice ... M
8           ministrstvo + javno + upravo      e-uprava.gov.si\e-uprava.gov.si.25.html            Ministrstvo za javno upravo , vse pravice ... Ministrstvo za pravosodje prejelo ... Ministrstvo za p
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.164.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti/storitve ...
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.227.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za pravosodje Zakon ... Ministrstv
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.265.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.266.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo : ... Ministrstvo za
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.272.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.276.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.564.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
8           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.574.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti/storitve ...
17          ministrstvo + upravo + javno      podatki.gov.si\podatki.gov.si.105.html             MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : uporabe ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINIS
10          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.112.html             MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTRSTVO ZA JAVNO UPRAVO ( 2 ) ... MINISTRSTVO ZA PRAVOSO
8           ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.454.html             MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA FINANCE ... MINISTRSTVO ZA KULTURO ARHIV ... MINISTRSTVO
14          javno + upravo + ministrstvo      evem.gov.si\evem.gov.si.13.html                    Ministrstvo za javno upravo Tržaška cesta 21 ... Ministrstvo za javno upravo Republike Slovenije I .
7           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.194.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno uporabo avtorskih del ... javno uporablj
11          javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.203.html                   Ministrstvo za javno upravo | Datum zadnje ... Ministrstvo za javno upravo Tržaška 21 SI-1000 ... Mi
8           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.22.html                    Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo , v katerega ... javno objavljena
9           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.235.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno železniško infrastrukturo obsega ... jav
13          javno + upravo + ministrstvo      evem.gov.si\evem.gov.si.31.html                    Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za javno upravo Overitelj na Minis
14          javno + upravo + ministrstvo      evem.gov.si\evem.gov.si.33.html                    Ministrstvo za javno upravo Tržaška cesta 21 ... Ministrstvo za javno upravo Republike Slovenije I .
14          javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.12.html              Ministrstvo za javno upravo v sodelovanju z ... Ministrstvo za javno upravo smo tudi letos ... Minis
14          javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.14.html              Ministrstvo za javno upravo v sodelovanju z ... Ministrstvo za javno upravo smo tudi letos ... Minis
15          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.351.html             MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINISTRSTVO .
15          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.352.html             MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINISTRSTVO .
15          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.379.html             MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINISTRSTVO .
15          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.68.html              MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINISTRSTVO .
15          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.81.html              MINISTRSTVO ZA JAVNO UPRAVO Pogoji uporabe : ... MINISTRSTVO ZA JAVNO UPRAVO Objavil : MINISTRSTVO .
13          ministrstvo + javno + upravo      e-uprava.gov.si\e-uprava.gov.si.57.html            Ministrstvo za javno upravo obveščata , da ... Ministrstvo za javno upravo . Za vpogled ... Ministrs
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.101.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo in ... Ministrst
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.126.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.133.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo v okviru evidence ... Ministrstvo
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.135.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za obrambo Dejavnosti/storitve ...
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.177.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za ok
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.199.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za km
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.202.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo Lista ... Minist
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.205.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo in ... Ministrst
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.250.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.267.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.268.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.274.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.35.html                    Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Upravne ... Ministrstvo
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.441.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za obrambo Lista ... Ministrstvo z
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.444.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.486.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za km
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.546.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.553.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.557.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.558.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo pristojno za rudarstvo ... Ministr
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.563.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo : ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.569.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo : ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.576.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
7           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.6.html                     Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Upravne ... Ministrstvo
11          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.366.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Mesečni prikaz ..
11          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.367.html             Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO - Na podlagi ... MINIS
6           javno + ministrstvo + upravo      e-uprava.gov.si\e-uprava.gov.si.46.html            Ministrstvo za javno upravo , vse pravice ... javno dostopnih podatkov avatar ... javno dostopnih po
10          javno + ministrstvo + upravo      e-uprava.gov.si\e-uprava.gov.si.47.html            Ministrstvo za javno upravo si prizadeva , ... Ministrstvo za javno upravo . Osnovni namen ... Minis
10          javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.221.html                   Ministrstvo za javno upravo | Datum zadnje ... Ministrstvo za javno upravo Tržaška 21 SI-1000 ... Mi
8           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.253.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno pooblastilo . Javno pooblastilo pridobi
